miRNA,disease,reference
hsa-mir-20a,Mental Retardation and X-Linked,HMDD
hsa-mir-20a,alpha-Thalassemia,HMDD
hsa-mir-20a,Retinoblastoma,HMDD
hsa-mir-20a,Respiratory Insufficiency,HMDD
hsa-mir-20a,Ischaemic Heart Disease,HMDD
hsa-mir-20a,Cardiomyopathy and Dilated,HMDD
hsa-mir-20a,Cardiomyopathies,HMDD
hsa-mir-20a,Hepatitis B,HMDD
hsa-mir-20a,Cholangiocarcinoma,HMDD
hsa-mir-20a,Inflammatory Bowel Diseases,HMDD
hsa-mir-20a,Glioma,HMDD
hsa-mir-20a,Neurofibromatosis 1,HMDD
hsa-mir-20a,Aortic Aneurysm and Thoracic,HMDD
hsa-mir-20a,Thyroid Cancer and Papillary,HMDD
hsa-mir-20a,Endometriosis,HMDD
hsa-mir-20a,Osteosarcoma,HMDD
hsa-mir-20a,Femur Head Necrosis,HMDD
hsa-mir-20a,Deglutition Disorders,HMDD
hsa-mir-20a,Arterial Occlusive Diseases,HMDD
hsa-mir-20a,Instent Restenosis,HMDD
hsa-mir-20a,Carcinoma and Endometrioid,HMDD
hsa-mir-20a,Myocardial Reperfusion Injury,HMDD
hsa-mir-20a,Carcinoma and Renal Cell,HMDD
hsa-mir-20a,Autism Spectrum Disorder,HMDD
hsa-mir-20a,Mastitis,HMDD
hsa-mir-20a,Familial Primary Pulmonary Hypertension,HMDD
hsa-mir-20a,Pulmonary Embolism and Acute,HMDD
hsa-mir-20a,Myocarditis,HMDD
hsa-mir-20a,Arthritis and Rheumatoid,HMDD
hsa-mir-20a,Ovarian Insufficiency and Premature,HMDD
hsa-mir-20a,ST Elevation Myocardial Infarction,HMDD
hsa-mir-20a,Attention Deficit Disorder with Hyperactivity,HMDD
hsa-mir-20a,Fractures and Bone,HMDD
hsa-mir-20a,Hepatitis B and Chronic,HMDD
hsa-mir-20a,Shock and Cardiogenic,HMDD
hsa-mir-20a,Atrial Fibrillation,HMDD
hsa-mir-20a,Schizophrenia,HMDD
hsa-mir-20a,Melanoma,HMDD
hsa-mir-20a,Chronic Pelvic Pain Syndrome,HMDD
hsa-mir-20a,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-92b,Cardiotoxicity,HMDD
hsa-mir-92b,Diabetes Mellitus,HMDD
hsa-mir-92b,Atrial Premature Complexes,HMDD
hsa-mir-92b,Inflammation,HMDD
hsa-mir-92b,breast cancer,HMDD
hsa-mir-92b,Osteoporosis,HMDD
hsa-mir-92b,Liver Neoplasms,HMDD
hsa-mir-92b,Carcinoma and Hepatocellular,HMDD
hsa-mir-92b,Bone Diseases,HMDD
hsa-mir-92b,Polycystic Ovary Syndrome,HMDD
hsa-mir-92b,Hepatitis C,HMDD
hsa-mir-92b,Infertility,HMDD
hsa-mir-92b,Ventricular Premature Complexes,HMDD
hsa-mir-92b,Neuronal Ceroid-Lipofuscinoses,HMDD
hsa-mir-92b,Adenomyosis,HMDD
hsa-mir-92b,Diabetes and Gestational,HMDD
hsa-mir-92b,Sarcoma and Kaposi,HMDD
hsa-mir-92b,Colorectal Neoplasms,HMDD
hsa-mir-92b,lung cancer,HMDD
hsa-mir-92b,Glioma,HMDD
hsa-mir-92b,Atrial Fibrillation,HMDD
hsa-mir-92b,Nasopharyngeal Carcinoma,HMDD
hsa-mir-92b,Carcinoma and Renal Cell,HMDD
hsa-mir-92b,Colonic Neoplasms,HMDD
hsa-mir-92b,Melanoma,HMDD
hsa-mir-92b,Diabetic Neuropathies,HMDD
hsa-mir-92b,Depression,HMDD
hsa-mir-92b,Sleep Apnea and Obstructive,HMDD
hsa-mir-92b,Asthma,HMDD
hsa-mir-92b,Prostatic Neoplasms,HMDD
hsa-mir-92b,Stomach Neoplasms,HMDD
hsa-mir-92b,Pre-Eclampsia,HMDD
hsa-mir-92b,Cardiomegaly,HMDD
hsa-mir-92b,Biliary Tract Neoplasms,HMDD
hsa-mir-92b,Pseudomonas Infections,HMDD
hsa-mir-92b,Venous Thromboembolism,HMDD
hsa-mir-92b,Hepatolenticular Degeneration,HMDD
hsa-mir-92b,Prostatic Neoplasms and Castration-Resistant,HMDD
hsa-mir-92b,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-92b,Glioblastoma,HMDD
hsa-mir-92b,Heart Septal Defects and Ventricular,HMDD
hsa-mir-92b,Heart Defects and Congenital,HMDD
hsa-mir-92b,Pancreatitis,HMDD
hsa-mir-190,Heart Failure and Acute,HMDD
hsa-mir-190,Pancreatic Diseases,HMDD
hsa-mir-190,Insulinoma,HMDD
hsa-mir-190,Diabetes Mellitus and Type 2,HMDD
hsa-mir-190,Aortic Valve Insufficiency,HMDD
hsa-mir-190,breast cancer,HMDD
hsa-mir-190,Ischemic Stroke,HMDD
hsa-mir-190,Heart Failure and Chronic,HMDD
hsa-mir-190,Glioma,HMDD
hsa-mir-24,Pulmonary Embolism,HMDD
hsa-mir-24,Diabetes Mellitus,HMDD
hsa-mir-24,lung cancer,HMDD
hsa-mir-24,Kidney Diseases,HMDD
hsa-mir-24,Pituitary Diseases,HMDD
hsa-mir-24,Hypoxia,HMDD
hsa-mir-24,Melanoma,HMDD
hsa-mir-24,Vascular Diseases,HMDD
hsa-mir-24,Cerebrovascular Disorders,HMDD
hsa-mir-24,Diabetes Mellitus and Type 2,HMDD
hsa-mir-24,Myocardial Infarction,HMDD
hsa-mir-24,Genetic Diseases and Inborn,HMDD
hsa-mir-24,Pneumonia,HMDD
hsa-mir-24,Retinal Detachment,HMDD
hsa-mir-24,Dehydration,HMDD
hsa-mir-24,Nerve Degeneration,HMDD
hsa-mir-24,Burns,HMDD
hsa-mir-24,Coronary Disease,HMDD
hsa-mir-24,Retinal Degeneration,HMDD
hsa-mir-24,Uterine Diseases,HMDD
hsa-mir-24,Encephalocele,HMDD
hsa-mir-24,Endometritis,HMDD
hsa-mir-24,Growth Hormone-Secreting Pituitary Adenoma,HMDD
hsa-mir-24,Migraine Disorders,HMDD
hsa-mir-24,Hyperlipoproteinemia Type II,HMDD
hsa-mir-24,Scholte syndrome,HMDD
hsa-mir-24,Nephrosclerosis,HMDD
hsa-mir-24,Porcine Reproductive and Respiratory Syndrome,HMDD
hsa-mir-24,Chorea,HMDD
hsa-mir-24,Retinal Cone Dystrophy 3B,HMDD
hsa-mir-24,Adenomyosis,HMDD
hsa-mir-24,Diabetes and Gestational,HMDD
hsa-mir-24,Hypertension and Pulmonary,HMDD
hsa-mir-24,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-24,Pre-Eclampsia,HMDD
hsa-mir-24,Hepatitis C,HMDD
hsa-mir-24,Blood Coagulation Disorders and Traumatic and Acute,HMDD
hsa-mir-24,Premature Birth,HMDD
hsa-mir-24,Ovarian Neoplasms,HMDD
hsa-mir-24,Osteoarthritis,HMDD
hsa-mir-24,Osteosarcoma,HMDD
hsa-mir-24,Schizophrenia,HMDD
hsa-mir-24,Diabetes Mellitus and Type 1,HMDD
hsa-mir-24,Alzheimer Disease,HMDD
hsa-mir-24,Lymphoma and Mantle-Cell,HMDD
hsa-mir-24,Metabolic Diseases,HMDD
hsa-mir-24,Obesity,HMDD
hsa-mir-24,Thyroid Cancer and Papillary,HMDD
hsa-mir-24,Prostatic Neoplasms,HMDD
hsa-mir-24,Mucocutaneous Lymph Node Syndrome,HMDD
hsa-mir-24,Arthritis and Rheumatoid,HMDD
hsa-mir-24,Pregnancy Complications,HMDD
hsa-mir-24,Coronary Artery Disease,HMDD
hsa-mir-24,Colonic Neoplasms,HMDD
hsa-mir-24,Pancreatic Carcinoma,HMDD
hsa-mir-24,Immune System Diseases,HMDD
hsa-mir-24,Myocardial Reperfusion Injury,HMDD
hsa-mir-24,Lipedema,HMDD
hsa-mir-24,Reperfusion Injury,HMDD
hsa-mir-24,Familial Mediterranean Fever,HMDD
hsa-mir-24,Precursor Cell Lymphoblastic Leukemia-Lymphoma,HMDD
hsa-mir-24,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-24,Atherosclerosis,HMDD
hsa-mir-24,Parkinson Disease,HMDD
hsa-mir-24,Multiple System Atrophy,HMDD
hsa-mir-24,Acute Kidney Injury,HMDD
hsa-mir-24,breast cancer,HMDD
hsa-mir-24,Stomach Neoplasms,HMDD
hsa-mir-24,Nasopharyngeal Carcinoma,HMDD
hsa-mir-24,Leukemia and Myeloid and Acute,HMDD
hsa-mir-24,COVID-19,HMDD
hsa-mir-24,Colorectal Neoplasms,HMDD
hsa-mir-24,Cardiovascular Diseases,HMDD
hsa-mir-24,Friedreich Ataxia,HMDD
hsa-mir-24,Cardiotoxicity,HMDD
hsa-mir-24,Diabetic Nephropathies and Proliferative,HMDD
hsa-mir-24,Sepsis,HMDD
hsa-mir-24,Cardiomyopathies,HMDD
hsa-mir-24,Pancreatitis,HMDD
hsa-mir-24,Ischemic Stroke,HMDD
hsa-mir-24,Respiratory Distress Syndrome,HMDD
hsa-mir-24,Retinoblastoma,HMDD
hsa-mir-24,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-24,Parathyroid Neoplasms,HMDD
hsa-mir-24,Hyperparathyroidism and Primary,HMDD
hsa-mir-24,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-24,Retinopathy of Prematurity,HMDD
hsa-mir-24,Pneumothorax,HMDD
hsa-mir-24,Carcinoma and Hepatocellular,HMDD
hsa-mir-24,Multiple Myeloma,HMDD
hsa-mir-24,Dermatitis and Atopic,HMDD
hsa-mir-24,Scleroderma and Systemic,HMDD
hsa-mir-24,Diabetic Nephropathies,HMDD
hsa-mir-24,Brain Neoplasms,HMDD
hsa-mir-24,Head and Neck Neoplasms,HMDD
hsa-mir-24,Peripheral Nervous System Diseases,HMDD
hsa-mir-24,Wounds and Injuries,HMDD
hsa-mir-24,Inflammatory Bowel Diseases,HMDD
hsa-mir-24,Hypertrophy,HMDD
hsa-mir-24,Esophageal Atresia,HMDD
hsa-mir-24,Diabetic Foot,HMDD
hsa-mir-24,Autoimmune Diseases,HMDD
hsa-mir-24,Neurodegenerative Diseases,HMDD
hsa-mir-24,Spinal Cord Injuries,HMDD
hsa-mir-24,Glioblastoma,HMDD
hsa-mir-24,Aortic Valve Stenosis,HMDD
hsa-mir-24,Lupus Erythematosus and Systemic,HMDD
hsa-mir-24,Aortic Aneurysm and Abdominal,HMDD
hsa-mir-24,Mastitis,HMDD
hsa-mir-24,Carotid Stenosis,HMDD
hsa-mir-24,Subarachnoid Hemorrhage,HMDD
hsa-mir-24,Vasospasm and Intracranial,HMDD
hsa-mir-24,Hypotension,HMDD
hsa-mir-24,Inflammation,HMDD
hsa-mir-24,Hematologic Neoplasms,HMDD
hsa-mir-24,Leukemia and Acute,HMDD
hsa-mir-24,Choroidal Neovascularization,HMDD
hsa-mir-24,Cerebral Infarction,HMDD
hsa-mir-24,Spinal Injuries,HMDD
hsa-mir-24,Polycystic Ovary Syndrome,HMDD
hsa-mir-24,Central Nervous System and Non-Infectious,HMDD
hsa-mir-24,Depression,HMDD
hsa-mir-24,Thyroid Neoplasms,HMDD
hsa-mir-20b,Nasopharyngeal Carcinoma,HMDD
hsa-mir-20b,lung cancer,HMDD
hsa-mir-20b,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-20b,Cerebrovascular Disorders,HMDD
hsa-mir-20b,Pre-Eclampsia,HMDD
hsa-mir-20b,Lung Injury,HMDD
hsa-mir-20b,Insulin Resistance,HMDD
hsa-mir-20b,Kidney Calculi,HMDD
hsa-mir-20b,Ceroid lipofuscinosis and neuronal 5,HMDD
hsa-mir-20b,Duane Retraction Syndrome,HMDD
hsa-mir-20b,Hyperoxaluria,HMDD
hsa-mir-20b,Urinary Calculi,HMDD
hsa-mir-20b,Testicular Germ Cell Tumor,HMDD
hsa-mir-20b,Polycystic Ovary Syndrome,HMDD
hsa-mir-20b,Carcinoma and Hepatocellular,HMDD
hsa-mir-20b,Schizophrenia,HMDD
hsa-mir-20b,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-20b,Uterine Cervical Neoplasms,HMDD
hsa-mir-20b,Abortion,HMDD
hsa-mir-20b,Diabetes and Gestational,HMDD
hsa-mir-20b,Cardiovascular Diseases,HMDD
hsa-mir-20b,Varicose Veins,HMDD
hsa-mir-20b,breast cancer,HMDD
hsa-mir-20b,Keratitis and Herpetic,HMDD
hsa-mir-20b,Premature Birth,HMDD
hsa-mir-20b,Retinoblastoma,HMDD
hsa-mir-20b,Intervertebral Disc Degeneration,HMDD
hsa-mir-20b,Pregnancy Complications,HMDD
hsa-mir-20b,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-20b,Hepatitis B,HMDD
hsa-mir-20b,Diabetic Retinopathy,HMDD
hsa-mir-20b,Diabetes Mellitus,HMDD
hsa-mir-20b,Colorectal Neoplasms,HMDD
hsa-mir-20b,Wounds and Injuries,HMDD
hsa-mir-20b,Osteosarcoma,HMDD
hsa-mir-20b,Diabetes Mellitus and Type 2,HMDD
hsa-mir-20b,Brain Injuries and Traumatic,HMDD
hsa-mir-20b,Peripheral Arterial Occlusive Disease 1,HMDD
hsa-mir-20b,Liver Cirrhosis,HMDD
hsa-mir-20b,Prostatic Neoplasms,HMDD
hsa-mir-20b,Subarachnoid Hemorrhage,HMDD
hsa-mir-20b,Inflammation,HMDD
hsa-mir-20b,Pancreatitis,HMDD
hsa-mir-20b,Pancreatic Carcinoma,HMDD
hsa-mir-20b,Stomach Neoplasms,HMDD
hsa-mir-20b,Ovarian Neoplasms,HMDD
hsa-mir-20b,Arthritis and Gouty,HMDD
hsa-mir-20b,Phyllodes Tumor and Breast,HMDD
hsa-mir-20b,Cervical Intraepithelial Neoplasia,HMDD
hsa-mir-20b,Tuberculosis,HMDD
hsa-mir-20b,Brain Ischemia,HMDD
hsa-mir-20b,Polyps,HMDD
hsa-mir-20b,Gastrointestinal Neoplasms,HMDD
hsa-mir-20b,Leukemia and Myeloid and Acute,HMDD
hsa-mir-20b,Acute Lung Injury,HMDD
hsa-mir-20b,Cardiomegaly,HMDD
hsa-mir-20b,Femur Head Necrosis,HMDD
hsa-mir-20b,Mouth Neoplasms,HMDD
hsa-mir-20b,Arthritis and Rheumatoid,HMDD
hsa-mir-20b,Inflammatory Bowel Diseases,HMDD
hsa-mir-20b,Glioma,HMDD
hsa-mir-208a,Stomach Neoplasms,HMDD
hsa-mir-208a,Diabetes Mellitus,HMDD
hsa-mir-208a,Cardiovascular Diseases,HMDD
hsa-mir-208a,Diabetes Mellitus and Type 2,HMDD
hsa-mir-208a,Cardiomyopathies,HMDD
hsa-mir-208a,Myocardial Infarction and Acute,HMDD
hsa-mir-208a,Carcinoma and Hepatocellular,HMDD
hsa-mir-208a,Myocardial Infarction,HMDD
hsa-mir-208a,COVID-19,HMDD
hsa-mir-208a,Heart Failure,HMDD
hsa-mir-208a,ST Elevation Myocardial Infarction,HMDD
hsa-mir-208a,Coronary Disease,HMDD
hsa-mir-208a,Osteosarcoma,HMDD
hsa-mir-208a,lung cancer,HMDD
hsa-mir-208a,breast cancer,HMDD
hsa-mir-208a,Hypertension and Pulmonary,HMDD
hsa-mir-208a,Cardiotoxicity,HMDD
hsa-mir-208a,Arrhythmias and Cardiac,HMDD
hsa-mir-208a,Diabetic Nephropathies,HMDD
hsa-mir-208a,Atrial Fibrillation,HMDD
hsa-mir-208a,Osteoporosis and Postmenopausal,HMDD
hsa-mir-208a,Chagas Cardiomyopathy,HMDD
hsa-mir-208a,Myocardial Ischemia,HMDD
hsa-mir-208a,Alzheimer Disease,HMDD
hsa-mir-208a,Ovarian Neoplasms,HMDD
hsa-mir-208a,Cardiomegaly,HMDD
hsa-mir-26b,Heart Defects and Congenital,HMDD
hsa-mir-26b,Diabetes Mellitus,HMDD
hsa-mir-26b,Alzheimer Disease,HMDD
hsa-mir-26b,Osteoarthritis,HMDD
hsa-mir-26b,Fibrosis,HMDD
hsa-mir-26b,Heart Diseases,HMDD
hsa-mir-26b,Colorectal Neoplasms,HMDD
hsa-mir-26b,Neurotic Disorders,HMDD
hsa-mir-26b,Capsule Opacification,HMDD
hsa-mir-26b,Aortic Diseases,HMDD
hsa-mir-26b,Chronic Periodontitis,HMDD
hsa-mir-26b,Carcinoma and Hepatocellular,HMDD
hsa-mir-26b,Pulmonary Arterial Hypertension,HMDD
hsa-mir-26b,Osteosarcoma,HMDD
hsa-mir-26b,breast cancer,HMDD
hsa-mir-26b,Pancreatitis and Chronic,HMDD
hsa-mir-26b,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-26b,Thyroid Cancer and Papillary,HMDD
hsa-mir-26b,Retinitis,HMDD
hsa-mir-26b,Endometrial Neoplasms,HMDD
hsa-mir-26b,Hepatitis and Alcoholic,HMDD
hsa-mir-26b,Reperfusion Injury and Intestinal Ischemia,HMDD
hsa-mir-26b,Prostatic Neoplasms,HMDD
hsa-mir-26b,Diabetic Retinopathy,HMDD
hsa-mir-26b,Arthritis and Rheumatoid,HMDD
hsa-mir-26b,Meningioma,HMDD
hsa-mir-26b,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-26b,Asthma,HMDD
hsa-mir-26b,Myocardial Reperfusion Injury,HMDD
hsa-mir-26b,lung cancer,HMDD
hsa-mir-26b,Cervical Intraepithelial Neoplasia,HMDD
hsa-mir-26b,Aspermia,HMDD
hsa-mir-26b,Familial Mediterranean Fever,HMDD
hsa-mir-26b,Thyroid Neoplasms,HMDD
hsa-mir-26b,Melanoma,HMDD
hsa-mir-26b,Venous Thromboembolism,HMDD
hsa-mir-26b,Urinary Bladder Neoplasms,HMDD
hsa-mir-26b,Attention Deficit Disorder with Hyperactivity,HMDD
hsa-mir-26b,Osteoporosis,HMDD
hsa-mir-26b,Wounds and Injuries,HMDD
hsa-mir-26b,Hepatitis C,HMDD
hsa-mir-26b,Liver Cirrhosis,HMDD
hsa-mir-26b,Cardiomegaly,HMDD
hsa-mir-26b,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-26b,Diabetes Mellitus and Type 2,HMDD
hsa-mir-26b,COVID-19,HMDD
hsa-mir-26b,Uterine Cervical Neoplasms,HMDD
hsa-mir-26b,Pancreatic Carcinoma,HMDD
hsa-mir-26b,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-26b,Ovarian Neoplasms,HMDD
hsa-mir-26b,Nasopharyngeal Neoplasms,HMDD
hsa-mir-26b,Sepsis,HMDD
hsa-mir-26b,Lichen Planus and Oral,HMDD
hsa-mir-26b,Leukemia and Myelogenous and Chronic and BCR-ABL Positive,HMDD
hsa-mir-26b,Lymphoma and AIDS-Related,HMDD
hsa-mir-26b,Nasopharyngeal Carcinoma,HMDD
hsa-mir-26b,Precursor Cell Lymphoblastic Leukemia-Lymphoma,HMDD
hsa-mir-26b,Obesity,HMDD
hsa-mir-26b,Salivary Gland Neoplasms,HMDD
hsa-mir-26b,Polycystic Ovary Syndrome,HMDD
hsa-mir-26b,Arthritis,HMDD
hsa-mir-26b,Colonic Neoplasms,HMDD
hsa-mir-26b,Hypertrophy and Left Ventricular,HMDD
hsa-mir-26b,Pulmonary Fibrosis,HMDD
hsa-mir-26b,Myocardial Infarction,HMDD
hsa-mir-26b,Neurodegenerative Diseases,HMDD
hsa-mir-26b,Eosinophilic Esophagitis,HMDD
hsa-mir-26b,Burkitt Lymphoma,HMDD
hsa-mir-26b,Rabies,HMDD
hsa-mir-106b,Colonic Neoplasms,HMDD
hsa-mir-106b,Diabetes Mellitus,HMDD
hsa-mir-106b,Inflammation,HMDD
hsa-mir-106b,Diabetic Foot,HMDD
hsa-mir-106b,Epilepsy,HMDD
hsa-mir-106b,Reflex Sympathetic Dystrophy,HMDD
hsa-mir-106b,Diabetes Mellitus and Type 1,HMDD
hsa-mir-106b,lung cancer,HMDD
hsa-mir-106b,Brain Neoplasms,HMDD
hsa-mir-106b,Esophageal Neoplasms,HMDD
hsa-mir-106b,Laryngeal Neoplasms,HMDD
hsa-mir-106b,Stomach Neoplasms,HMDD
hsa-mir-106b,Creutzfeldt-Jakob Disease and Sporadic,HMDD
hsa-mir-106b,Astrocytoma,HMDD
hsa-mir-106b,Glioblastoma,HMDD
hsa-mir-106b,Colorectal Neoplasms,HMDD
hsa-mir-106b,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-106b,Nasopharyngeal Carcinoma,HMDD
hsa-mir-106b,Hemangioma and Infantile,HMDD
hsa-mir-106b,Frontotemporal Dementia,HMDD
hsa-mir-106b,Prostatic Neoplasms,HMDD
hsa-mir-106b,Osteoporosis,HMDD
hsa-mir-106b,Arthritis and Rheumatoid,HMDD
hsa-mir-106b,Aphasia and Primary Progressive,HMDD
hsa-mir-106b,Tuberculosis and Pulmonary,HMDD
hsa-mir-106b,Thrombocytopenia,HMDD
hsa-mir-106b,Infertility and Male,HMDD
hsa-mir-106b,Mental Disorders,HMDD
hsa-mir-106b,breast cancer,HMDD
hsa-mir-106b,Breast Diseases,HMDD
hsa-mir-106b,Multiple Sclerosis,HMDD
hsa-mir-106b,Crohn Disease,HMDD
hsa-mir-106b,Carcinoma and Hepatocellular,HMDD
hsa-mir-106b,Cerebral Hemorrhage and Traumatic,HMDD
hsa-mir-106b,Myocardial Reperfusion Injury,HMDD
hsa-mir-106b,Heart Failure,HMDD
hsa-mir-106b,Melanoma,HMDD
hsa-mir-106b,Angina and Unstable,HMDD
hsa-mir-106b,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-106b,Diabetic Nephropathies,HMDD
hsa-mir-106b,Lymphoma and B-Cell,HMDD
hsa-mir-106b,Brain Ischemia,HMDD
hsa-mir-106b,Carotid Stenosis,HMDD
hsa-mir-106b,Familial Mediterranean Fever,HMDD
hsa-mir-106b,Atherosclerosis,HMDD
hsa-mir-106b,Glioma,HMDD
hsa-mir-106b,Bipolar Disorder,HMDD
hsa-mir-106b,Carcinoma and Renal Cell,HMDD
hsa-mir-106b,Uterine Cervical Neoplasms,HMDD
hsa-mir-106b,Parkinsonian Disorders,HMDD
hsa-mir-106b,Coronary Artery Disease,HMDD
hsa-mir-106b,Myocardial Infarction,HMDD
hsa-mir-106b,Prader-Willi Syndrome,HMDD
hsa-mir-106b,Fatty Liver,HMDD
hsa-mir-106b,Osteosarcoma,HMDD
hsa-mir-106b,Leukemia and Myelogenous and Chronic and BCR-ABL Positive,HMDD
hsa-mir-106b,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-106b,Parkinson Disease,HMDD
hsa-mir-106b,Atrial Fibrillation,HMDD
hsa-mir-106b,Oligospermia,HMDD
hsa-mir-106b,Alzheimer Disease,HMDD
hsa-mir-106b,Pancreatic Carcinoma,HMDD
hsa-mir-106b,Dermatitis and Atopic,HMDD
hsa-mir-106b,Asthma,HMDD
hsa-mir-106b,Choriocarcinoma,HMDD
hsa-mir-106b,Retinoblastoma,HMDD
hsa-mir-106b,Ovarian Neoplasms,HMDD
hsa-mir-4792,Polycystic Ovary Syndrome,HMDD
hsa-mir-4792,Meningitis and Cryptococcal,HMDD
hsa-mir-4792,Leukemia and Myeloid and Acute,HMDD
hsa-mir-344,Urinary Bladder Neoplasms,HMDD
hsa-mir-344,Diabetes Mellitus,HMDD
hsa-mir-344,Pancreatic Diseases,HMDD
hsa-mir-199,Memory Disorders,HMDD
hsa-mir-199,Prostatic Diseases,HMDD
hsa-mir-199,Epstein-Barr Virus Infections,HMDD
hsa-mir-199,Osteochondritis Dissecans,HMDD
hsa-mir-199,Intervertebral Disc Degeneration,HMDD
hsa-mir-199,Starvation,HMDD
hsa-mir-199,Stomach Neoplasms,HMDD
hsa-mir-199,Movement Disorders,HMDD
hsa-mir-199,Hepatitis C,HMDD
hsa-mir-199,Acquired Immunodeficiency Syndrome,HMDD
hsa-mir-199,Mesothelioma and Malignant,HMDD
hsa-mir-199,Osteoarthritis and Knee,HMDD
hsa-mir-199,Multiple Myeloma,HMDD
hsa-mir-199,lung cancer,HMDD
hsa-mir-199,Down Syndrome,HMDD
hsa-mir-199,Lichen Planus and Oral,HMDD
hsa-mir-199,Hypertension,HMDD
hsa-mir-199,Cardiotoxicity,HMDD
hsa-mir-199,Lung Injury,HMDD
hsa-mir-199,Renal Insufficiency and Chronic,HMDD
hsa-mir-199,Muscular Dystrophies,HMDD
hsa-mir-199,Muscular Atrophy,HMDD
hsa-mir-199,Carcinoma and Hepatocellular,HMDD
hsa-mir-199,Reperfusion Injury and Hepatic Ischemia,HMDD
hsa-mir-199,Diabetes Mellitus,HMDD
hsa-mir-199,Oral Submucous Fibrosis,HMDD
hsa-mir-199,Osteoarthritis,HMDD
hsa-mir-199,Glioblastoma,HMDD
hsa-mir-409,Cardiomegaly,HMDD
hsa-mir-409,Diabetes Mellitus,HMDD
hsa-mir-409,Myocardial Ischemia,HMDD
hsa-mir-409,Obesity,HMDD
hsa-mir-409,Hyperlipidemias,HMDD
hsa-mir-409,Anxiety Disorders,HMDD
hsa-mir-409,Depressive Disorder and Major,HMDD
hsa-mir-409,Attention Deficit Disorder with Hyperactivity,HMDD
hsa-mir-409,lung cancer,HMDD
hsa-mir-409,Prostatic Neoplasms,HMDD
hsa-mir-409,Diabetes and Gestational,HMDD
hsa-mir-409,breast cancer,HMDD
hsa-mir-409,Uterine Cervical Neoplasms,HMDD
hsa-mir-409,Atherosclerosis,HMDD
hsa-mir-409,Cerebral Infarction and Acute,HMDD
hsa-mir-409,Ovarian Neoplasms,HMDD
hsa-mir-409,Leukemia and Myeloid and Acute,HMDD
hsa-mir-409,Lung Carcinoid,HMDD
hsa-mir-409,Diabetes Mellitus and Type 1,HMDD
hsa-mir-409,Biliary Tract Neoplasms,HMDD
hsa-mir-409,Pneumonia and Mycoplasma,HMDD
hsa-mir-409,Parkinson Disease,HMDD
hsa-mir-409,Migraine Disorders,HMDD
hsa-mir-409,Neuroblastoma,HMDD
hsa-mir-409,Tuberculosis,HMDD
hsa-mir-409,Leukemia and Myelogenous and Chronic and BCR-ABL Positive,HMDD
hsa-mir-409,Diabetes Complications,HMDD
hsa-mir-409,Depression,HMDD
hsa-mir-409,Stomach Neoplasms,HMDD
hsa-mir-409,Atrial Fibrillation,HMDD
hsa-mir-409,Polycystic Ovary Syndrome,HMDD
hsa-mir-217,Stomach Neoplasms,HMDD
hsa-mir-217,Diabetes Mellitus,HMDD
hsa-mir-217,Colorectal Neoplasms,HMDD
hsa-mir-217,Ischemic Stroke,HMDD
hsa-mir-217,Keloid,HMDD
hsa-mir-217,Uterine Cervical Neoplasms,HMDD
hsa-mir-217,Diabetes Mellitus and Type 2,HMDD
hsa-mir-217,Mucocutaneous Lymph Node Syndrome,HMDD
hsa-mir-217,Asthma,HMDD
hsa-mir-217,Signs and Symptoms,HMDD
hsa-mir-217,Angelman Syndrome,HMDD
hsa-mir-217,Brain Ischemia,HMDD
hsa-mir-217,Periodontitis and Diabetic,HMDD
hsa-mir-217,Urinary Bladder Neoplasms,HMDD
hsa-mir-217,Myocardial Infarction,HMDD
hsa-mir-217,Leukemia and Myeloid and Acute,HMDD
hsa-mir-217,Gout,HMDD
hsa-mir-217,Leukemia,HMDD
hsa-mir-217,Carcinoma and Renal Cell,HMDD
hsa-mir-217,lung cancer,HMDD
hsa-mir-217,Ovarian Neoplasms,HMDD
hsa-mir-217,Pancreatic Carcinoma,HMDD
hsa-mir-217,Cardiovascular Diseases,HMDD
hsa-mir-217,Atherosclerosis,HMDD
hsa-mir-217,Myocardial Reperfusion Injury,HMDD
hsa-mir-217,Colonic Neoplasms,HMDD
hsa-mir-217,Osteosarcoma,HMDD
hsa-mir-217,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-217,Carcinoma and Hepatocellular,HMDD
hsa-mir-217,Multiple Sclerosis,HMDD
hsa-mir-217,Heart Failure,HMDD
